step, loss, STT_loss, TTS_loss 
835 , 0.316, 0.252, 0.064 
840 , 0.315, 0.251, 0.064 
845 , 0.317, 0.253, 0.064 
850 , 0.322, 0.261, 0.061 
855 , 0.346, 0.268, 0.077 
860 , 0.324, 0.266, 0.058 
865 , 0.324, 0.265, 0.059 
870 , 0.324, 0.267, 0.056 
875 , 0.340, 0.273, 0.068 
880 , 0.330, 0.271, 0.059 
885 , 0.339, 0.276, 0.063 
890 , 0.371, 0.285, 0.086 
895 , 0.337, 0.281, 0.056 
900 , 0.356, 0.287, 0.070 
905 , 0.350, 0.287, 0.063 
910 , 0.350, 0.287, 0.063 
915 , 0.347, 0.286, 0.061 
920 , 0.360, 0.297, 0.063 
925 , 0.357, 0.295, 0.062 
930 , 0.360, 0.305, 0.055 
935 , 0.374, 0.303, 0.072 
940 , 0.363, 0.302, 0.061 
945 , 0.369, 0.307, 0.063 
950 , 0.424, 0.335, 0.089 
955 , 0.394, 0.310, 0.084 
960 , 0.427, 0.333, 0.094 
965 , 0.375, 0.314, 0.061 
970 , 0.383, 0.321, 0.062 
975 , 0.382, 0.320, 0.062 
980 , 0.405, 0.326, 0.079 
985 , 0.399, 0.325, 0.075 
990 , 0.405, 0.333, 0.071 
995 , 0.457, 0.353, 0.104 
1000 , 0.388, 0.331, 0.057 
1005 , 0.389, 0.329, 0.060 
1010 , 0.412, 0.338, 0.074 
1015 , 0.435, 0.351, 0.084 
1020 , 0.405, 0.338, 0.067 
1025 , 0.405, 0.346, 0.059 
1030 , 0.407, 0.347, 0.060 
1035 , 0.425, 0.354, 0.071 
1040 , 0.419, 0.354, 0.065 
1045 , 0.433, 0.355, 0.078 
1050 , 0.421, 0.359, 0.061 
1055 , 0.468, 0.372, 0.097 
1060 , 0.424, 0.360, 0.064 
1065 , 0.428, 0.366, 0.062 
1070 , 0.441, 0.366, 0.075 
1075 , 0.487, 0.385, 0.102 
1080 , 0.433, 0.369, 0.064 
1085 , 0.430, 0.374, 0.056 
1090 , 0.437, 0.377, 0.060 
1095 , 0.443, 0.376, 0.067 
1100 , 0.443, 0.379, 0.064 
1105 , 0.436, 0.375, 0.061 
1110 , 0.462, 0.391, 0.071 
1115 , 0.447, 0.386, 0.061 
1120 , 0.448, 0.385, 0.063 
1125 , 0.451, 0.388, 0.063 
1130 , 0.461, 0.393, 0.068 
1135 , 0.504, 0.409, 0.095 
1140 , 0.472, 0.400, 0.072 
1145 , 0.468, 0.396, 0.072 
1150 , 0.462, 0.401, 0.061 
1155 , 0.470, 0.405, 0.065 
1160 , 0.484, 0.408, 0.077 
1165 , 0.464, 0.403, 0.061 
1170 , 0.491, 0.413, 0.078 
1175 , 0.526, 0.426, 0.100 
1180 , 0.480, 0.413, 0.067 
1185 , 0.482, 0.417, 0.066 
1190 , 0.472, 0.414, 0.058 
1195 , 0.493, 0.420, 0.073 
1200 , 0.499, 0.422, 0.077 
1205 , 0.483, 0.422, 0.062 
1210 , 0.509, 0.430, 0.080 
1215 , 0.489, 0.423, 0.066 
1220 , 0.504, 0.431, 0.073 
1225 , 0.493, 0.430, 0.063 
1230 , 0.495, 0.431, 0.064 
1235 , 0.502, 0.439, 0.063 
1240 , 0.508, 0.438, 0.070 
1245 , 0.534, 0.451, 0.083 
1250 , 0.502, 0.437, 0.065 
1255 , 0.505, 0.443, 0.062 
1260 , 0.514, 0.445, 0.069 
1265 , 0.509, 0.446, 0.063 
1270 , 0.514, 0.449, 0.065 
1275 , 0.520, 0.452, 0.068 
1280 , 0.535, 0.455, 0.080 
1285 , 0.522, 0.452, 0.070 
1290 , 0.521, 0.455, 0.067 
1295 , 0.582, 0.469, 0.113 
1300 , 0.534, 0.462, 0.072 
1305 , 0.551, 0.468, 0.083 
1310 , 0.537, 0.459, 0.078 
1315 , 0.533, 0.464, 0.069 
1320 , 0.529, 0.468, 0.061 
1325 , 0.530, 0.468, 0.062 
1330 , 0.543, 0.473, 0.070 
1335 , 0.538, 0.470, 0.068 
1340 , 0.548, 0.475, 0.073 
1345 , 0.549, 0.477, 0.072 
1350 , 0.538, 0.473, 0.065 
1355 , 0.549, 0.479, 0.070 
1360 , 0.544, 0.478, 0.066 
1365 , 0.541, 0.478, 0.063 
1370 , 0.544, 0.480, 0.064 
1375 , 0.559, 0.483, 0.076 
1380 , 0.563, 0.487, 0.076 
1385 , 0.550, 0.487, 0.063 
1390 , 0.585, 0.497, 0.088 
1395 , 0.546, 0.486, 0.060 
1400 , 0.556, 0.492, 0.064 
1405 , 0.580, 0.498, 0.082 
1410 , 0.583, 0.496, 0.086 
1415 , 0.561, 0.497, 0.064 
1420 , 0.555, 0.495, 0.060 
1425 , 0.566, 0.499, 0.067 
1430 , 0.610, 0.509, 0.101 
1435 , 0.560, 0.500, 0.060 
1440 , 0.571, 0.501, 0.070 
1445 , 0.574, 0.502, 0.072 
1450 , 0.569, 0.508, 0.061 
1455 , 0.579, 0.510, 0.069 
1460 , 0.625, 0.519, 0.107 
1465 , 0.620, 0.519, 0.102 
1470 , 0.567, 0.506, 0.061 
1475 , 0.581, 0.511, 0.071 
1480 , 0.584, 0.518, 0.066 
1485 , 0.582, 0.515, 0.067 
1490 , 0.584, 0.517, 0.067 
1495 , 0.585, 0.515, 0.071 
