step, loss 
26500 , 68.60
26600 , 56.43
26700 , 61.90
26800 , 60.79
26900 , 52.38
27000 , 42.37
27100 , 58.06
27200 , 66.46
27300 , 57.11
27400 , 57.44
27500 , 51.56
27600 , 52.22
27700 , 74.63
27800 , 49.86
27900 , 45.01
28000 , 69.22
28100 , 46.65
28200 , 70.98
28300 , 36.86
28400 , 45.92
28400 , 49.09
28500 , 59.99
28600 , 74.50
28700 , 46.91
28800 , 84.48
28900 , 72.21
29000 , 53.33
29100 , 56.03
29200 , 95.66
29200 , 48.28
29300 , 56.76
29400 , 71.95
29500 , 66.39
29600 , 47.75
29700 , 63.11
29800 , 131.05
29900 , 80.67
29900 , 71.63
30000 , 100.40
30000 , 98.24
30100 , 75.18
30100 , 81.60
30200 , 71.20
30200 , 67.16
30300 , 77.29
30400 , 72.12
30500 , 55.69
30500 , 75.28
30500 , 69.49
30500 , 60.21
30600 , 59.72
30700 , 68.98
30700 , 64.08
30800 , 70.02
30800 , 63.28
30900 , 71.60
30900 , 75.23
31000 , 60.76
31100 , 84.66
31200 , 86.14
31300 , 57.51
31400 , 54.71
31500 , 63.99
31600 , 76.22
31700 , 49.57
31800 , 79.55
31900 , 76.53
32000 , 109.53
32100 , 44.41
32100 , 47.56
32200 , 55.61
32300 , 43.28
32400 , 59.79
32500 , 94.91
32600 , 51.28
32700 , 81.30
32800 , 103.57
32900 , 99.22
33000 , 94.61
33000 , 88.32
33100 , 96.85
33200 , 71.09
33300 , 81.65
33400 , 77.42
33500 , 69.01
33500 , 72.46
33600 , 82.04
33600 , 83.16
33700 , 100.74
33800 , 65.93
33900 , 77.78
34000 , 106.64
34100 , 99.39
34200 , 86.48
34200 , 79.53
34100 , 97.22
34000 , 63.19
34000 , 62.97
34000 , 69.99
34000 , 59.68
34000 , 62.18
34000 , 69.29
34000 , 89.04
34000 , 71.90
34000 , 73.36
34000 , 45.01
34100 , 46.78
34200 , 54.80
34300 , 62.04
34400 , 57.13
34500 , 61.12
34600 , 52.76
34700 , 103.64
34800 , 97.89
34900 , 44.33
35000 , 43.52
35100 , 60.12
35200 , 38.86
35300 , 32.00
35400 , 55.88
35500 , 121.20
35600 , 31.80
35600 , 35.96
35700 , 50.23
35700 , 43.90
35800 , 98.45
35900 , 81.99
36000 , 53.28
36100 , 104.27
36200 , 58.29
36300 , 63.26
36300 , 84.97
36300 , 54.28
36300 , 72.37
36300 , 74.25
36400 , 49.10
36500 , 51.27
36600 , 68.27
36600 , 58.01
36700 , 62.85
36800 , 48.14
36900 , 64.10
37000 , 53.52
37100 , 55.21
37100 , 56.38
37200 , 84.52
37300 , 96.46
37400 , 53.93
37500 , 88.66
37600 , 73.97
37700 , 123.06
37800 , 50.39
37900 , 92.07
38000 , 69.02
38000 , 46.89
38100 , 38.62
38200 , 52.48
38300 , 49.89
38400 , 45.80
38400 , 39.77
38500 , 69.04
38600 , 73.17
38700 , 36.11
38800 , 41.20
38900 , 54.03
39000 , 58.98
39100 , 46.52
39200 , 48.42
39300 , 46.95
39400 , 72.16
39500 , 52.47
39600 , 66.59
39600 , 55.92
39700 , 59.07
39800 , 64.03
39900 , 66.62
39900 , 77.04
40000 , 81.51
40100 , 57.80
40200 , 89.99
40300 , 54.83
40400 , 61.24
40400 , 41.50
40400 , 123.98
40400 , 79.96
40500 , 49.66
40500 , 52.56
40600 , 60.10
40700 , 85.26
40800 , 67.25
40900 , 80.51
41000 , 49.62
41100 , 72.48
41200 , 85.71
41200 , 117.82
41200 , 97.15
41300 , 71.98
41400 , 89.56
41500 , 61.16
41600 , 71.86
41600 , 73.25
41700 , 50.96
41800 , 61.26
41900 , 56.87
42000 , 61.16
42100 , 47.16
42200 , 65.80
42300 , 105.77
42300 , 61.74
42400 , 65.65
42500 , 53.64
42600 , 76.19
42700 , 89.11
42800 , 44.58
42900 , 69.94
43000 , 68.49
43100 , 58.18
43200 , 57.82
43200 , 59.12
43300 , 74.57
43400 , 52.14
43500 , 77.81
43500 , 75.14
43600 , 66.46
43700 , 59.83
43700 , 118.77
43700 , 120.68
43700 , 81.10
43800 , 82.43
43900 , 146.35
44000 , 74.62
44100 , 119.02
44200 , 154.45
44300 , 79.05
44400 , 119.51
44500 , 96.07
44600 , 103.92
44700 , 65.13
44800 , 88.89
44800 , 78.45
44900 , 85.41
44900 , 127.90
45000 , 64.88
45100 , 113.00
44900 , 80.81
44900 , 81.60
44900 , 86.96
44900 , 67.16
44900 , 121.68
44900 , 76.41
44900 , 71.22
44900 , 65.53
44900 , 80.21
45000 , 63.76
45100 , 78.89
45200 , 52.68
45300 , 68.16
45400 , 78.58
45500 , 114.76
45500 , 51.39
45600 , 75.13
45700 , 145.95
45700 , 59.72
45800 , 101.71
45900 , 50.28
46000 , 79.98
46100 , 46.66
46100 , 143.17
46200 , 96.45
46300 , 79.03
46400 , 57.64
46500 , 112.19
46600 , 72.74
46700 , 77.15
46800 , 57.66
46900 , 51.47
47000 , 28.67
47000 , 49.83
47100 , 58.82
47100 , 69.14
47200 , 57.22
47300 , 50.51
47400 , 56.13
47500 , 48.05
47600 , 65.70
47700 , 56.84
47800 , 52.13
47800 , 55.11
47900 , 67.35
48000 , 43.10
48100 , 98.67
48200 , 93.16
48300 , 62.01
48400 , 47.51
48400 , 116.18
48500 , 99.77
48600 , 105.01
48700 , 37.14
48800 , 38.33
48900 , 39.45
49000 , 53.43
49100 , 51.07
49200 , 40.21
49300 , 62.93
49400 , 44.87
49500 , 50.58
49600 , 54.07
49700 , 49.94
49800 , 47.99
49900 , 70.97
50000 , 45.26
50100 , 50.30
50200 , 44.72
50200 , 51.54
50300 , 45.06
50400 , 75.56
50500 , 69.81
50600 , 51.28
50600 , 59.72
50700 , 47.93
50700 , 91.49
50700 , 45.80
50800 , 64.02
50900 , 67.95
51000 , 50.28
51100 , 66.62
51200 , 96.02
51300 , 58.14
51400 , 73.97
51500 , 65.92
51600 , 66.70
51600 , 74.90
51700 , 59.66
51800 , 58.21
51900 , 59.05
52000 , 78.30
52000 , 87.17
52000 , 78.05
52100 , 103.33
52100 , 84.79
52200 , 91.91
52300 , 62.46
52400 , 61.75
52500 , 66.21
52600 , 56.89
52700 , 85.29
52800 , 45.11
52800 , 75.91
52800 , 49.53
52900 , 51.76
52900 , 94.33
53000 , 83.23
53100 , 60.47
53200 , 63.00
53300 , 48.09
53400 , 104.34
53500 , 70.77
53600 , 79.17
53700 , 87.22
53700 , 75.22
53800 , 66.85
53900 , 60.35
54000 , 60.64
54100 , 62.73
54200 , 88.78
54300 , 65.36
54300 , 74.71
54400 , 66.98
54500 , 102.26
54500 , 81.36
54600 , 69.52
54600 , 73.14
54600 , 125.43
54700 , 103.02
54800 , 98.11
54900 , 55.91
55000 , 95.01
55100 , 84.15
55200 , 113.50
55300 , 78.74
55400 , 87.92
55500 , 76.50
55500 , 70.05
55600 , 111.18
55600 , 102.37
55700 , 80.74
55700 , 68.35
55700 , 68.74
55800 , 77.40
55900 , 114.28
55900 , 80.89
55900 , 99.18
55900 , 65.55
55800 , 82.35
55800 , 68.66
55800 , 93.88
55800 , 65.78
55700 , 71.16
55700 , 79.90
55800 , 53.53
55900 , 65.84
55900 , 68.48
56000 , 46.62
56100 , 55.35
56200 , 52.04
56300 , 75.67
56300 , 101.54
56400 , 99.80
56500 , 104.81
56600 , 83.50
56600 , 57.86
56700 , 80.23
56700 , 70.63
56800 , 139.38
56900 , 63.31
57000 , 62.60
57100 , 39.77
57200 , 84.43
57300 , 54.81
57400 , 74.41
57500 , 64.84
57500 , 90.25
57500 , 79.47
57600 , 31.00
57600 , 47.48
57700 , 100.95
57800 , 72.08
57900 , 43.89
58000 , 57.83
58100 , 57.77
58200 , 81.60
58300 , 62.04
58300 , 47.69
58400 , 56.53
58400 , 68.39
58500 , 57.41
58600 , 56.91
58600 , 58.82
58700 , 65.63
58800 , 62.22
58900 , 109.24
59000 , 85.84
59100 , 67.93
59200 , 73.47
59300 , 74.54
59400 , 68.62
59500 , 54.47
59600 , 41.06
59600 , 42.68
59600 , 73.07
59700 , 63.15
59700 , 49.60
59800 , 73.14
59900 , 47.43
59900 , 72.77
60000 , 58.75
60100 , 41.95
60200 , 42.76
60300 , 44.01
60400 , 52.21
60500 , 43.61
60600 , 55.40
60700 , 47.19
60800 , 51.53
60900 , 48.88
60900 , 59.33
61000 , 61.78
61100 , 46.70
61100 , 52.73
61200 , 48.98
61300 , 53.31
61400 , 62.26
61500 , 58.23
61500 , 46.22
61600 , 62.37
61600 , 59.09
61700 , 88.48
61800 , 63.55
61900 , 80.36
62000 , 43.35
62100 , 55.12
62200 , 74.69
62200 , 87.99
62300 , 69.31
62300 , 68.45
62400 , 90.33
62500 , 50.11
62500 , 106.31
62600 , 91.31
62700 , 83.88
62700 , 63.59
62800 , 58.04
62900 , 74.23
63000 , 65.10
63100 , 88.63
63100 , 73.05
63100 , 57.56
63100 , 72.88
63200 , 49.55
63300 , 68.25
63400 , 114.63
63500 , 67.29
63600 , 113.01
63700 , 48.48
63800 , 64.67
63900 , 81.33
64000 , 116.47
64100 , 71.16
64200 , 75.62
64200 , 62.15
64300 , 61.90
64400 , 59.62
64500 , 76.50
64600 , 70.18
64700 , 59.10
64800 , 70.14
64900 , 61.93
65000 , 56.02
65100 , 64.27
65200 , 69.34
65300 , 88.30
65400 , 71.83
65500 , 100.55
65500 , 78.43
65600 , 76.01
65700 , 83.27
65800 , 143.45
65900 , 64.38
66000 , 124.79
66100 , 84.24
66200 , 85.82
66300 , 70.19
66400 , 92.23
66500 , 96.21
66600 , 85.87
66700 , 83.64
66800 , 65.49
66800 , 62.59
66800 , 75.68
66800 , 64.93
66800 , 83.03
66600 , 65.64
66600 , 68.93
66600 , 61.90
66600 , 54.24
66700 , 93.59
66700 , 52.19
66800 , 62.21
66900 , 67.44
67000 , 51.29
67100 , 63.62
67200 , 94.18
67300 , 84.67
67400 , 125.24
67500 , 28.83
67600 , 80.98
67700 , 40.72
67800 , 72.12
67800 , 78.94
67900 , 42.72
68000 , 29.22
68100 , 55.68
68200 , 43.69
68200 , 104.57
68300 , 69.54
68300 , 48.40
68400 , 103.98
68500 , 72.98
68600 , 38.11
68600 , 44.42
68700 , 99.44
68700 , 56.90
68700 , 82.66
68800 , 75.26
68900 , 85.06
69000 , 66.36
69100 , 72.54
69200 , 55.33
69200 , 55.85
69300 , 90.51
69400 , 63.06
69500 , 77.12
69500 , 85.12
69500 , 63.69
69600 , 63.58
69600 , 63.09
69700 , 111.84
69800 , 84.72
69900 , 109.29
70000 , 87.88
70100 , 55.39
70200 , 71.67
70300 , 78.89
70300 , 103.45
70400 , 45.27
70500 , 40.33
70600 , 68.97
70700 , 36.40
70800 , 43.24
70900 , 63.27
71000 , 53.36
71100 , 56.05
71200 , 51.22
71200 , 55.81
71300 , 54.81
71400 , 70.82
71500 , 52.42
71600 , 50.38
71700 , 38.04
71800 , 43.35
71900 , 36.74
72000 , 48.01
72100 , 67.31
72100 , 62.94
72200 , 56.31
72300 , 71.53
72400 , 73.35
72400 , 45.13
72400 , 95.61
72500 , 57.78
72600 , 65.18
72700 , 83.10
72800 , 93.42
72900 , 57.49
73000 , 119.89
73000 , 64.20
73100 , 67.22
73200 , 56.46
73300 , 66.30
73400 , 59.09
73500 , 57.56
73600 , 68.78
73700 , 125.29
73700 , 95.58
73800 , 119.87
73900 , 99.02
74000 , 68.79
74100 , 101.04
74200 , 61.75
74200 , 71.14
74300 , 71.76
74400 , 74.27
74500 , 49.37
74600 , 61.06
74700 , 67.13
74700 , 58.63
74800 , 54.12
74900 , 69.61
75000 , 68.10
75100 , 76.00
75200 , 53.67
75300 , 74.37
75400 , 72.82
75500 , 65.30
75600 , 59.84
75700 , 89.89
75800 , 92.86
75800 , 63.21
75900 , 66.10
76000 , 70.95
76100 , 106.21
76200 , 97.94
76300 , 102.14
76300 , 110.68
76300 , 81.53
76300 , 83.01
76400 , 71.21
76500 , 70.78
76600 , 102.00
76700 , 67.57
76800 , 90.81
76900 , 75.81
77000 , 80.79
77100 , 94.24
77200 , 66.95
77300 , 58.93
77300 , 88.15
77300 , 89.64
77400 , 77.95
77500 , 77.28
77600 , 85.57
77700 , 79.56
77700 , 75.92
77600 , 63.24
77600 , 85.37
77600 , 82.01
77500 , 51.30
77500 , 63.51
77500 , 107.71
77600 , 55.44
77700 , 59.34
77700 , 60.68
77800 , 44.94
77900 , 63.22
78000 , 39.58
78000 , 37.81
